lambda_obs,W_int,W_obs,W_err
3914.89322,0.13270929591207856,-0.132922778382018,0.3982828173525033
3924.9433999999997,0.06990330446551271,0.4302610791927958,0.3844096907026902
4054.710835,0.32325083364767293,0.3153675837356774,0.26831233110035035
4065.11995,0.19861625600238675,0.1976735244343899,0.2648505486476866
4194.52845,0.5800186314590042,0.4919983808308794,0.13868402782495848
4205.2965,0.43152088745492667,0.6254751391614521,0.13004687169104856
4334.346065,0.9375600253347542,0.7213910065841609,0.11388458688562308
4345.47305,0.8056378123858727,0.661442217418113,0.11907885595545933
4474.163680000001,1.1232210963153637,1.2023906626093315,0.17960606333775067
4485.6496,1.0586272447458736,1.0059125910509779,0.1801954253916198
5313.06937,0.1789750606105879,0.04923792482387801,0.17640007415652303
5326.7089,0.09487415501488924,-0.3055320596699038,0.17760989112910247
5452.886985,0.4374326575973825,0.32340132098876084,0.1464229003266349
5466.88545,0.2646546454291421,0.3699973878488036,0.15362809306318817
5592.7046,0.7626172971389098,0.8353762755903735,0.17351737369359735
5607.062,0.576391965880301,0.7621991429754644,0.18085852088794788
5732.522215,1.2105810439105866,1.2579623825403985,0.1585192877072853
5747.238549999999,1.0885843705336355,1.1682892931747126,0.16098811517569872
5872.33983,1.5366011948931124,1.4022826257853815,0.1695730530155069
5887.4151,1.4580858345544956,1.2204553092071762,0.1705228780232079
6711.2455199999995,0.22604703942651744,0.2987181712855035,0.13716376564652777
6728.4744,0.11985835880826665,0.2740022124770525,0.1434737104068783
6851.063135,0.5501418603126185,0.550397399416659,0.16525353021718747
6868.65095,0.33244198297160865,0.8117986034249987,0.21390682044705037
6990.88075,0.9535430967654613,0.8714731804373848,0.1661120102602972
7008.827499999999,0.7204575095756865,0.841168149390211,0.1650318802615277
7130.698364999999,1.498449710041104,1.7790834769967865,0.15131877016908746
7149.00405,1.349723495028559,1.2248678651319105,0.15133496017997145
7270.51598,1.871637404552759,2.063323410278998,0.14905728194988851
7289.1806,1.7770722264917906,1.8011057647747148,0.16231751424608037
8109.42167,0.2731444250481253,0.5175967114324722,0.16603400990113626
8130.2399,0.1448328067053314,-0.002917399120539621,0.1656099798889296
8249.239285,0.6624246023339582,0.6146926293902839,0.17693876930302332
8270.41645,0.4003121352036595,0.45712169790750207,0.16952366867867988
8389.0569,1.1433131989193783,1.1717231882922166,0.16984023470469156
8410.593,0.8645471048940024,0.9334561545383633,0.16778970353559994
8528.874515,1.7623201089351586,1.8167431857131442,0.16583802006161258
8550.769549999999,1.6121104312850747,1.4844068014118466,0.2849001663856417
8668.69213,2.246735513780726,2.246511689027683,0.3215091607096665
8690.9461,2.1192422894927527,2.0977670382736053,0.21094991857099368
